Player,NOTES
Patrick Mahomes,"If you invested a first-round pick in Mahomes last year, you weren‘t happy with the results. In games he started, he posted QB1-type numbers in just 57.1 percent of them. However, there were some factors to take into consideration. One, he was going to regress. Two, he suffered an injury during the Week 7 game against the Broncos that seemed to affect him throughout the remainder of the regular season. In the seven games following that injury, he threw for three touchdowns just once, while throwing for more than 283 yards just twice. Was that a sign of things to come? Probably not considering he threw for 901 yards and 10 touchdowns in three playoff games. You must ask yourself, “What‘s the worst/best-case scenario with Mahomes?"" prior to drafting him. Worst case was probably last year, where he was the No. 52 value-based player. That means if we‘d drafted 2019 all over again, his value would‘ve been correct as the 52nd player selected, so a fifth-round pick. Best case scenario is that he finishes as the No. 5 value-based player like he did in 2018. If you‘re somewhere in the middle, he‘s still worth a third-round pick with upside for more. Most of the time with Mahomes, it all just depends on your particular draft, as there are some who‘ll see him go in the first round of their 1QB league. You‘re baking in too much risk there. As a late-second, early-third round pick, you have some room for growth. Anything beyond that is just a steal. With the lack of offseason, it‘ll affect defenses more than it will offenses, so we could see a record-breaking year for Mahomes."
James Conner,"If Conner were able to stay on the field, he‘d be considered as a top-10 running back in fantasy. Unfortunately, he hasn‘t done that, and it‘s led them to draft Jaylen Samuels, Benny Snell, and now Anthony McFarland. While none of them are better than Conner, it‘s likely we see them take some of the workload away from him in 2020."
DeAndre Hopkins,"Did you know Hopkins hasn‘t seen less than 150 targets since way back in 2014? Now going to a Cardinals team with Christian Kirk and Larry Fitzgerald, it‘s unlikely he reaches that mark. The odd offseason also hasn‘t given him a lot of time with new quarterback Kyler Murray. From reports, the first time the duo got together was at the end of June. Is that enough time to develop any sort of chemistry? Hopkins has played with a lot of bad quarterbacks in his time, though the only one who held him back from producing was Brock Osweiler, as Hopkins finished as the No. 29 wide receiver in 2016 despite seeing 151 targets. Murray‘s rookie season wasn‘t particularly efficient (both Fitzgerald and Kirk saw over 105 targets but outside the top-36 wide receivers), but we should expect growth in year two. There is a scenario where Hopkins is a rock-solid player but not a top-five fantasy receiver, however, given his history of producing with guys like Tom Savage, TJ Yates, and Brian Hoyer, I‘m giving him the benefit of the doubt. Still, his targets will take a hit, making him a second-round pick rather than the first-round one he‘s been."
Lamar Jackson,"If we were replaying the 2019 season, Jackson would be the No. 2 pick in fantasy leagues, and it wouldn‘t be a reach. He was behind only Christian McCaffrey in value based drafting score. We talk all the time about regression when it comes to quarterbacks with a high touchdown rate, and Jackson is no different after posting a ridiculous 9.0 percent touchdown rate in 2019. That‘s going to come down. Lowering that mark to 5.0 percent (which is still above average), he would‘ve thrown 20 touchdowns instead of the 36 that he did. However, something to help offset that is his rushing touchdown output. Based on where his carries took place last year, Jackson should‘ve scored closer to 12 rushing touchdowns rather than the seven that he did. The downside to Jackson is that he‘s a bit thinner than you‘d like as a mobile quarterback. While it‘s tough to get a clean hit on him, we have a history of mobile quarterbacks not withstanding a lot of hits. When you invest a second- or third-round pick on a quarterback, you need him on the field. If Jackson were a lock to play all 16 games, he‘d be my QB1 and well worth a second-round pick. When you add in some of that risk, he‘s more of a third-round selection. There were nine separate occasions last year where he delivered 28-plus fantasy points. Those are week-winning performances."
Mike Evans,"There are a lot of people who‘ll point out the fact that Evans finished as a WR1 in 2019 despite missing three games. Well, I hate to break it to you, but he was not a WR1 in terms that actually matter to you, the fantasy player. Despite averaging an elite 9.1 targets per game, Evans posted WR2 or better-type numbers in just 38.5 percent of his games. That ranked 28th among wide receivers. Seriously, guys like Sterling Shepard, Cole Beasley, and Jamison Crowder had higher percentages. Now you take away Jameis Winston, someone who was more than willing to throw the ball into tight coverage all the time, and swap him with one of the most risk averse quarterbacks in football? Evans’ 2.4 yards of separation at target was one of the worst marks among wide receivers, and while it doesn‘t tell the full story, those who watch Evans knows he uses his body extremely well to box out defenders rather than gain multiple yards of separation with precision route running. Look, he‘s still a good player who‘s totaled at least 1,000 yards in each of his first six NFL seasons, so I‘m not completely writing him off, though it does help that he‘s seen at least 8.7 targets per game over the last five years. I don‘t think Brady is as bad as some think at throwing the deep ball anymore, I just don‘t think he does it nearly as often as Winston did/was willing to. I‘m expecting a slight dip in targets and less air yards, which in turn, equals less production for a player like Evans. It‘s not bad if you land him as your WR2, but I wouldn‘t recommend him as a WR1."
Jonathan Taylor,"It‘s looking like a very good possibility for Taylor to see 250-plus carries in his rookie season. Some may think that‘s absurd, but Marlon Mack totaled 247 carries in just 14 games last year. Even if we give Mack the 100 carries that Jordan Wilkins and Jonathan Williams combined for last year, it‘d leave room for Taylor to hit the 250 mark. He‘s also running behind the best offensive line in football, so it wouldn‘t be a shock to see him rush for 1,200 yards in year one with his vision and speed in the open field. Taylor is right in the same territory as someone like Nick Chubb."
Melvin Gordon,"He left the Chargers at the right time, as they‘re going to be going through a transitional period. Instead, he joins a now-exciting Broncos offense that suddenly has tons of firepower. You don‘t add Gordon in free agency if you don‘t plan on using him as your lead back. The potential upside is that new offensive coordinator Pat Shurmur has been a one-back kind of guy, so it‘s possible that Phillip Lindsay is just there to give Gordon breathers when he needs them. With Courtland Sutton, Jerry Jeudy, KJ Hamler, and Noah Fant out there are receiving threats, Gordon should see a lot of light fronts this year. He‘s a middling RB2 with RB1 upside if they decide to give him 15-plus touches per game."
David Johnson,"The Texans gave their running backs 397 touches last year, and that was with DeAndre Hopkins on the roster. That‘s a lot of work. The only running back they‘ve added was David Johnson. While Johnson looked horrendous down the stretch, it‘s possible he just tried to work his way back from injury way too soon. It appears Bill O‘Brien isn‘t convinced that Johnson is done with his NFL career, like some. It‘s possible that he‘s not as electric as he once was, but guys, the Texans gave Carlos Hyde (who‘s still unemployed) 255 touches last year. Opportunity is key in fantasy football, and Johnson appears to be in line for a lot of it in 2020, making him a low-end RB2 with upside for more should he actually be healthy."
Mark Ingram II,"Not many expecting Ingram to finish as an RB1 with Lamar Jackson under center, thinking he‘d lose some of the goal-line carries to the mobile quarteback. Despite the fact that Ingram had more than 15 carries just twice all season, he finished as the No. 8 running back. We aren‘t banking on that happening again, especially when the Ravens drafted JK Dobbins in the second round of the NFL Draft. Ingram is going to be 31 years old this year, while Dobbins and Justice Hill have young, fresh legs. We could see Ingram lose a few carries a game, but provided he‘s healthy, we should still expect him to lead this timeshare and be a borderline RB2."
Allen Robinson,"We saw a 150-plus target season for Robinson in 2019, which was a rarity among wide receivers. Based on where his targets took place, he had the fourth-most expected fantasy points among wide receivers last year. There‘s little reason to expect that to change, as the Bears lost Taylor Gabriel and replaced him with an older, slower version in Ted Ginn. There were just two games last season where Robinson finished with fewer than seven targets, making him an easy every-week start. In fact, he posted WR2 or better numbers in 62.5 percent of his games, which ranked fifth behind only Michael Thomas, DeAndre Hopkins, Julio Jones, and Davante Adams. The fact that the Bears snagged Nick Foles only helps the Bears receivers, as they have twice the chance at competent quarterback play. Robinson should be considered a high-floor, low-end WR1, as it‘s unlikely he comes with the ceiling of those with better quarterback play."
A.J. Brown,"WPrior to the NFL Draft last year, I had D.K. Metcalf as my 1A receiver and Brown as my 1B. Loved them both, but Metcalf‘s landing spot moved him into the driver‘s seat. Maybe I underestimated just how much Brown could do without an elite quarterback. Despite not being a full-time player until Week 9 and seeing just 84 targets, Brown finished as the No. 21 wide receiver in his rookie season. There have been just 10 wide receivers over the last 10 years who‘ve finished as a top-24 fantasy receiver while seeing fewer than 87 targets. Going back to when Ryan Tannehill started playing, Brown received a very stable 21 percent target share. That‘s not elite. Not bad, but not elite. Let‘s go from Week 9 through Week 17 when Brown moved to a full-time role. Brown‘s target share was 24 percent in that time, which ranked 10th among wide receivers. If we project Tannehill for 480-500 pass attempts, that‘d amount to 115-120 targets. It is possible Brown‘s target share goes up but staying at 24 percent feels like it‘s repeatable. It‘s important to note that Brown averaged a ridiculous 8.9 yards after the catch last year, a number that isn‘t repeatable. You typically won‘t see even the best of the best receivers average more than 6.0 yards after the catch. If you move Brown down to the 5.5 range, he would‘ve recorded 187 fewer yards and finished as the WR28. Then you must factor in Tannehill‘s ridiculous 7.7 percent touchdown rate regressing, so don‘t automatically assume that Brown‘s efficiency remains the same. He‘s still a phenomenal talent, but he needs to get the bump in pass attempts to take the next step. If I were guaranteed 500 pass attempts out of Tannehill, I‘d draft him as a low-end WR1. It‘s best to be a bit cautious though and have some equity built in, making him a WR2 with serious upside."
Mark Andrews,"The trio of tight ends in Baltimore accounted for a massive 40.2 percent target share last year, which easily led the league. Just one other team (Eagles) had their tight ends see over a 30.0 percent target share. Hayden Hurst is gone, which shifts those targets to the duo of Andrews and Boyle. While I anticipate some of them moving to the wide receivers, it‘s not a bad thing for Andrews supporters. I think many have forgotten just how hard it is for young tight ends to produce elite numbers, yet Andrews posted 852 yards and 10 touchdowns in his sophomore season on a team that threw the ball just 440 times. He‘s very good. With a slight bump in pass attempts for the team overall combined with the exit of Hurst, and we could see Andrews reach 120 targets this season. My issue with Andrews is that he‘s been a bit more inconsistent than the likes of Travis Kelce and George Kittle, so it takes a bit of projecting to see him reach that tier. Andrews played just 46 snaps per game in 2019, while those two averaged 60 snaps. For me, Andrews is in the tier directly behind them alongside Zach Ertz. If you can get him in the late-fourth or early-fifth round, I‘m good with that. If you take him earlier, you‘re have to project 120 targets."
Adam Thielen,"It was a down year for Thielen in 2019, who‘s suddenly 30 years old (August 22nd, he will be) with back problems. That‘s not a recipe for success for a wide receiver, though it helps that he‘s the only steady presence at wide receiver. Most will look at the target totals from last year and wonder where his targets come from, but don‘t forget that Thielen saw 298 targets over the previous two seasons. Last year was an incredibly efficient year for the Vikings on the ground, and when you combine the fact that Thielen missed half the season, you can understand why their pass attempts came crashing down to earth. With the defense likely taking a step back after losing many starters, we should expect to see their run-to-pass ratio come back towards the league average, which would help Thielen‘s target potential. Knowing that he‘s the only receiver in the starting lineup who has any chemistry with Cousins, we should expect at least eight targets per game. That calls for him being a high-end WR2 at the very least when he‘s in the lineup, though his injury concerns have to be built into his cost. His current ADP is the WR11, which is too expensive for the risk you‘re taking on."
Odell Beckham Jr.,"What in the world happened to Beckham in 2019? If we were replaying last season, we wouldn‘t be drafting him until the fifth or sixth round of fantasy drafts. But that‘s where fantasy players go wrong. That‘s a one-year sample size. We had 59 career games prior to that we can look at where he was the best game-by-game fantasy wide receiver of all-time. Which do you trust? Everyone on the Browns struggled last year and knowing that Beckham was playing through a hernia only added to the disappointment. 2019 was the first year he‘d posted WR2 or better numbers in less than 66.7 percent of his games (which is ridiculous). We know the offense is changing, but that also comes with some concerns. While in Minnesota last year, Kevin Stefanski‘s wide receivers combined for just 201 targets and a 43.1 percent target share, which ranked as the fourth-lowest mark in football. Stefon Diggs, who is also very talented, saw just 94 targets in 15 games last year. While I don‘t expect the Browns to be as run-heavy as the Vikings were, it‘s an added level of concern. But here‘s the thing - it‘s not like a lot of the wide receivers in the 10-15 range don‘t come with similar issues or question marks. Beckham has done it before and has true No. 1 overall wide receiver upside. He‘s in the prime of his career at 27 years old and his only competition for targets (Jarvis Landry) is coming off hip surgery. Getting him as your high-end WR2 is worth it."
Amari Cooper,"It‘s somewhat maddening that Cooper can‘t get the 150-plus targets that some do, as he‘s continually one of the most efficient receivers in the league. Did you know Michael Gallup averaged more targets per game than Cooper last year? Cooper‘s injury may have played into that but it didn‘t stop him from being one of the best in the league. Based on the number of his targets and where they took place on the field, Cooper should‘ve finished as the No. 23 wide receiver, and not the No. 9 receiver he did. In fact, he was the only receiver in the league who scored 20-plus more fantasy points than he was expected to in both the red zone and outside the red zone. The addition of CeeDee Lamb isn‘t going to make getting targets any easier for Cooper, who‘s now seen 195 targets in 25 games with the Cowboys. Because he‘s not getting the gaudy numbers that some are, Cooper should be considered a semi-volatile WR2 in fantasy who has more WR1 upside than most on a weekly basis. If Cooper were to get 150 targets, I have zero doubts that he‘d finish as a top-three receiver, but as we‘ve seen, that just doesn‘t happen."
Le'Veon Bell,"You‘re going to see Bell fall down draft boards this year, and further than he should. That‘s odd for me to say, as Bell was someone I was avoiding like the plague in drafts. The difference? Expectations. Playing him as your first-round pick in your RB1 slot was never something anyone should‘ve expected, especially behind that offensive line and in Gase‘s offense. While he‘s still stuck in Gase‘s offense, the offensive line was upgraded quite a bit this offseason, which should allow Bell more room to work. Even if he repeated his 2019 performance, that‘s RB2 production. There were just 11 running backs who produced RB2 or better numbers more often than him. Sure, he didn‘t have a ton of weekly upside, but he was safe. Now coming off the board outside the top three rounds, Bell is a value play."
D.J. Moore,"It really stinks that we may not get to see Moore play with a top-tier quarterback during his early years. He‘s an extremely good football player who‘s been stuck in a bad situation. He made the most of bad targets last year, finishing as the WR18 and delivering WR2 or better performances 60.0 percent of the time, which ranked eighth among wide receivers. Now another obstacle to cross. He‘ll have a new quarterback and a new head coach in 2020. The coach (Matt Rhule) also decided they needed to bring in Robby Anderson, a receiver who previously played under him, which could mean the targets get spread out a bit. The good news is that Bridgewater attempted a deep ball on just 7.1 percent of his pass attempts, which was the second-lowest rate in the NFL, and not an area where Moore operates. The talent is there for Moore to make a jump into WR1 status, but the situation doesn‘t seem ideal with virtually no offseason. He‘s best suited as a WR2 on fantasy teams, as top-24 should be his absolute floor."
JuJu Smith-Schuster,"Did everyone forget just how talented Smith-Schuster is because he had a down year in 2019? He played through multiple injuries and dealt with what was probably the worst quarterback situation in the league. In Week 1 and Week 2, when Ben Roethlisberger was on the field, Smith-Schuster saw 16 targets, catching 11 of them for 162 yards. Not too shabby. Insert bad quarterbacks, paired with Smith-Schuster trying to run routes from the perimeter, and it was a recipe for disaster. The Steelers have vowed to put him back in the slot where he belongs, and he‘s getting back Roethlisberger, who‘s continually supported fantasy receivers throughout his long career. Going all the way back to 2008, Ben Roethlisberger‘s No. 1 and No. 2 wide receivers combined for at least 225 targets on eight different occasions, including 334 times when he had Antonio Brown and Smith-Schuster in 2018. With Roethlisberger on the field, the Steelers haven‘t thrown the ball less than 584 times since way back in 2012. It‘s hard to see a scenario where Smith-Schuster doesn‘t see at least 130 targets if he‘s healthy (that would be just a 22.2 percent target share), which is elite volume, so even if he‘s average, he‘d be a high-end WR2. I‘ll leave you with this... Smith-Schuster posted 1,426 yards in his second NFL season at the age of 22. There are just six players who posted more yardage in one of their first two seasons. The list includes Isaac Bruce, Josh Gordon, Torry Holt, Jerry Rice, Victor Cruz, and Odell Beckham Jr. We can‘t pretend Smith-Schuster is anywhere close to average. He‘s worth a third-round pick in drafts, even though many are getting him in the fourth."
Calvin Ridley,"Prior to getting hurt and having his season cut short, Ridley was on pace for 1,066 yards and eight touchdowns in 2019, which would have had him as the WR14. Now going into his third NFL season, there‘s a real chance for a breakout. Sure, Julio Jones isn‘t going away but he doesn‘t have to. Not many realize that Mohamed Sanu saw 94 targets in 2018 and was on pace for 96 targets before being traded in 2019. We don‘t really expect Russell Gage to fill that role, do we? If you want to know if there‘s room for both Ridley and Jones to be WR1s, look no further than the Bucs last year with Mike Evans and Chris Godwin, even if it is rare for that to happen. Ridley saw 49 targets in the six games he played without Sanu, which would amount to 131 over an entire 16-game season. Ridley has real top-five breakout potential and is an ideal high-end WR2 on your fantasy team."
Raheem Mostert,"After the way Mostert played in the playoffs, many were looking forward to a 2020 breakout season, and it helps knowing that Matt Breida was traded to the Dolphins. The issue is that they are getting Jerick McKinnon back, still have Tevin Coleman, and Jeff Wilson. The passing game also got a new weapon, which could lead to slightly more pass attempts. Despite being on the roster the past two years under Shanahan, Mostert has received 171 carries in 25 games. It‘s tough to see that changing drastically. There‘s a chance, which is why he‘s in the high-end RB3 conversation, but there‘s also a chance you can‘t start him with confidence every week."
